district,county,subcounty,parish,village
Nakapiripirit,Chekwii East County
Nakaseke,Nakaseke Central
Nakaseke,Nakaseke North
Nakaseke,Nakaseke South
Nakasongola,Budyebo County
Nakasongola,Nakasongola County
Namayingo,Bukooli Island
Namayingo,Bukooli South
Namayingo,Namayingo South
Namisindwa,Bubulo East County
Namisindwa,Namisindwa County
Namutumba,Bukono County
Namutumba,Busiki County
Namutumba,Busiki North County
Napak,Bokora County
Napak,Bokora East County
Nebbi,Nebbi Municipality
Nebbi,Padyere County
Ngora,Kapir County
Ngora,Ngora County
Ntoroko,Ntoroko County
Ntungamo,Kajara County
Ntungamo,Ntungamo
Ntungamo,Ruhaama County
Ntungamo,Ruhaama East
Ntungamo,Rushenyi County
Nwoya,Nwoya County
Nwoya,Nwoya East County
Obongi,Obongi County
Omoro,Omoro County
Omoro,Tochi County
Otuke,Otuke County
Otuke,Otuke East County
Oyam,Oyam County North
Oyam,Oyam County South
Pader,Aruu County
Pader,Aruu North County
Pakwach,Jonam County
Pallisa,Agule County
Pallisa,Gogonyo County
Pallisa,Kibale County
Pallisa,Pallisa County
Rakai,Buyamba County
Rakai,Kooki County
Rubanda,Rubanda County
Rubirizi,Bunyaruguru
Rubirizi,Katerera County
Rukiga,Rukiga County
Rukungiri,Rubabo County
Rukungiri,Rujumbura County
Rukungiri,Rukungiri
Rwampara,Rwampara County
Rwampara,Rwampara East
Serere,Kasilo County
Serere,Pingire County
Serere,Serere County
Sheema,Sheema County
Sheema,Sheema Municipality
Sironko,Budadiri County
Soroti,Dakabela County
Soroti,Gweri County
Soroti,Soroti County
Soroti City,Soroti East Division
Soroti City,Soroti West Division
Ssembabule,Lwemiyaga County
Ssembabule,Mawogola County
Ssembabule,Mawogola North
Ssembabule,Mawogola West
Terego,Terego East County
Terego,Terego West County
Tororo,Tororo Municipality
Tororo,Tororo North
Tororo,Tororo South
Tororo,West Budama
Tororo,West Budama North
Wakiso,Busiro County East
Wakiso,Busiro County North
Wakiso,Busiro County South
Wakiso,Entebbe Municipality
Wakiso,Kira Municipality
Wakiso,Kyadondo County
Wakiso,Makindye-Ssabagabo
Wakiso,Nansana Municipality
Yumbe,Aringa County
Yumbe,Aringa East County
Yumbe,Aringa North County
Yumbe,Aringa South
Zombo,Okoro County
Zombo,Ora County
